level_key,features_set,classifier,K,feature,importance
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_condi_1bran_copied,0.004683473408360906
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_condi_2bran_copied,0.00016676339502912936
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_condi_3bran_copied,0.0016935629956389992
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_for_simple_copied,0.04203141390603838
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_for_counter_0_copied,0.007599031376448208
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_for_counter_n_copied,0.0035522559729746577
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_while_simple_copied,0.007839258858178464
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_pasted,0.031541577312614026
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,GA_avg_open_chest_loc_error,0.03823787187762419
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,GA_avg_walk_loc_error,0.0342267635901821
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,GA_avg_not_allowed_func_error,0.008973791458061282
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,GA_avg_function_param_error,0.05614432314570275
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,EX_avg_too_many_lines_error,0.014716156360318526
