level_key,features_set,K,classifier,Precision,Recall,F1_score
Level3,mean_rate_oa_features_keys,2,Decision Tree,0.46668915879442197,0.47435897435897434,0.4662165988437174
Level3,mean_rate_oa_features_keys,3,Decision Tree,0.4886939983093829,0.4725274725274725,0.46650740563784043
Level3,mean_rate_oa_features_keys,4,Decision Tree,0.43376623376623374,0.4155844155844156,0.4148423005565863
Level3,mean_rate_oa_features_keys,0,Random Forest,0.4261106540518305,0.41025641025641024,0.4119538773674111
Level3,mean_rate_oa_features_keys,1,Random Forest,0.492984693877551,0.4880952380952381,0.4766994718673545
Level3,mean_rate_oa_features_keys,2,Random Forest,0.46994026806526806,0.4358974358974359,0.44456127147951047
Level3,mean_rate_oa_features_keys,3,Random Forest,0.5357001972386587,0.5164835164835165,0.5032079721520715
Level3,mean_rate_oa_features_keys,4,Random Forest,0.5292427053466014,0.5064935064935064,0.5137564322469983
Level4,mean_sd_rate_features_nohelp_nosub,0,Dummy random baseline,0.3072199131368795,0.24285714285714285,0.2642857142857143
Level4,mean_sd_rate_features_nohelp_nosub,1,Dummy random baseline,0.3777450257921886,0.2542372881355932,0.2927100018625443
Level4,mean_sd_rate_features_nohelp_nosub,2,Dummy random baseline,0.16025974025974024,0.14285714285714285,0.14768707482993193
Level4,mean_sd_rate_features_nohelp_nosub,3,Dummy random baseline,0.17867803837953092,0.1791044776119403,0.17535043740856782
Level4,mean_sd_rate_features_nohelp_nosub,4,Dummy random baseline,0.2633116883116883,0.2222222222222222,0.23173730771769988
Level4,mean_sd_rate_features_nohelp_nosub,0,Ordered baseline,0.45640396870210537,0.1,0.09510783292295896
Level4,mean_sd_rate_features_nohelp_nosub,1,Ordered baseline,0.4067796610169492,0.0847457627118644,0.08059114219580191
Level4,mean_sd_rate_features_nohelp_nosub,2,Ordered baseline,0.530504533829342,0.3,0.2684813384813385
Level4,mean_sd_rate_features_nohelp_nosub,3,Ordered baseline,0.12227324913892079,0.14925373134328357,0.11169378333557439
Level4,mean_sd_rate_features_nohelp_nosub,4,Ordered baseline,0.43118686868686873,0.2361111111111111,0.22409611992945322
Level4,mean_sd_rate_features_nohelp_nosub,0,Teacher ordered baseline,0.6127891156462586,0.5571428571428572,0.5378167641325535
Level4,mean_sd_rate_features_nohelp_nosub,1,Teacher ordered baseline,0.5694915254237288,0.4915254237288136,0.45493489561286166
Level4,mean_sd_rate_features_nohelp_nosub,2,Teacher ordered baseline,0.3747969421882465,0.38571428571428573,0.36175898931000966
Level4,mean_sd_rate_features_nohelp_nosub,3,Teacher ordered baseline,0.643630623108235,0.6567164179104478,0.6385896603936837
Level4,mean_sd_rate_features_nohelp_nosub,4,Teacher ordered baseline,0.545544733044733,0.5694444444444444,0.5440952187762953
Level4,mean_sd_rate_features_nohelp_nosub,0,Naive Bayes,0.5541241496598639,0.5571428571428572,0.5482597402597403
Level4,mean_sd_rate_features_nohelp_nosub,1,Naive Bayes,0.512583461736004,0.5254237288135594,0.5020687311499087
Level4,mean_sd_rate_features_nohelp_nosub,2,Naive Bayes,0.5287405106970324,0.6,0.5614468530910579
Level4,mean_sd_rate_features_nohelp_nosub,3,Naive Bayes,0.5580594564125186,0.582089552238806,0.566327640950557
Level4,mean_sd_rate_features_nohelp_nosub,4,Naive Bayes,0.5057598039215686,0.5416666666666666,0.5184272763106031
Level4,mean_sd_rate_features_nohelp_nosub,0,Logistic regression,0.5903940886699508,0.6142857142857143,0.6013969813969814
Level4,mean_sd_rate_features_nohelp_nosub,1,Logistic regression,0.5958333333333333,0.5932203389830508,0.5881086898036051
Level4,mean_sd_rate_features_nohelp_nosub,2,Logistic regression,0.536547619047619,0.6,0.55525061389571
Level4,mean_sd_rate_features_nohelp_nosub,3,Logistic regression,0.6055231090922201,0.6417910447761194,0.6227685103892303
Level4,mean_sd_rate_features_nohelp_nosub,4,Logistic regression,0.573831450658936,0.625,0.5978819996467055
Level4,mean_sd_rate_features_nohelp_nosub,0,SVM,0.5903025210084033,0.6142857142857143,0.6011904761904763
Level4,mean_sd_rate_features_nohelp_nosub,1,SVM,0.6064274708342505,0.5932203389830508,0.5850540497323174
Level4,mean_sd_rate_features_nohelp_nosub,2,SVM,0.45011042097998616,0.5,0.4723515792383717
Level4,mean_sd_rate_features_nohelp_nosub,3,SVM,0.6512629161882894,0.6716417910447762,0.6530206112295665
Level4,mean_sd_rate_features_nohelp_nosub,4,SVM,0.5969422043010754,0.6388888888888888,0.6124727668845317
Level4,mean_sd_rate_features_nohelp_nosub,0,Decision Tree,0.5576882477128783,0.5571428571428572,0.5529778023395046
Level4,mean_sd_rate_features_nohelp_nosub,1,Decision Tree,0.5922377794153771,0.5932203389830508,0.592457884704549
Level4,mean_sd_rate_features_nohelp_nosub,2,Decision Tree,0.6153585544889892,0.6142857142857143,0.5953741496598639
Level4,mean_sd_rate_features_nohelp_nosub,3,Decision Tree,0.5049751243781094,0.5074626865671642,0.5039132070738743
Level4,mean_sd_rate_features_nohelp_nosub,4,Decision Tree,0.5688795853269537,0.5694444444444444,0.5689522856189524
Level4,mean_sd_rate_features_nohelp_nosub,0,Random Forest,0.7141346469622333,0.7,0.6994290023701788
Level4,mean_sd_rate_features_nohelp_nosub,1,Random Forest,0.6913370998116761,0.711864406779661,0.6954734252839937
Level4,mean_sd_rate_features_nohelp_nosub,2,Random Forest,0.486525974025974,0.5428571428571428,0.5099930313588851
Level4,mean_sd_rate_features_nohelp_nosub,3,Random Forest,0.7132117191818685,0.746268656716418,0.7264125799573561
Level4,mean_sd_rate_features_nohelp_nosub,4,Random Forest,0.607574182369504,0.6527777777777778,0.6293408793408793
Level4,mean_rate_features_nohelp_nosub,0,Dummy random baseline,0.19035714285714284,0.14285714285714285,0.16301594885445816
Level4,mean_rate_features_nohelp_nosub,1,Dummy random baseline,0.3078329115218447,0.2542372881355932,0.2652709940845534
Level4,mean_rate_features_nohelp_nosub,2,Dummy random baseline,0.27989616899391334,0.21428571428571427,0.23304473304473308
Level4,mean_rate_features_nohelp_nosub,3,Dummy random baseline,0.21736770691994572,0.1791044776119403,0.18348550904521052
Level4,mean_rate_features_nohelp_nosub,4,Dummy random baseline,0.21895424836601307,0.18055555555555555,0.19714506172839508
Level4,mean_rate_features_nohelp_nosub,0,Ordered baseline,0.45640396870210537,0.1,0.09510783292295896
Level4,mean_rate_features_nohelp_nosub,1,Ordered baseline,0.4067796610169492,0.0847457627118644,0.08059114219580191
Level4,mean_rate_features_nohelp_nosub,2,Ordered baseline,0.530504533829342,0.3,0.2684813384813385
Level4,mean_rate_features_nohelp_nosub,3,Ordered baseline,0.12227324913892079,0.14925373134328357,0.11169378333557439
